,맥주이름,년,평점
259,Desperados, 2008,1.8457142857142856
260,Desperados, 2009,1.562857142857143
261,Desperados, 2010,1.9066666666666665
262,Desperados, 2011,1.875
263,Desperados, 2012,1.9482758620689655
264,Desperados, 2013,1.7840579710144926
265,Desperados, 2014,1.8030612244897959
266,Desperados, 2015,1.7494736842105263
267,Desperados, 2016,1.7351851851851852
268,Desperados, 2017,1.8703125
269,Desperados, 2018,2.107894736842105
270,Desperados, 2019,2.092307692307692
271,Desperados, 2020,1.8909090909090909
272,Desperados, 2021,2.457142857142857
273,Edelweiss Weissbier Snowfresh, 2007,3.468965517241379
274,Edelweiss Weissbier Snowfresh, 2008,3.3328125
275,Edelweiss Weissbier Snowfresh, 2009,3.129090909090909
276,Edelweiss Weissbier Snowfresh, 2010,3.2633333333333336
277,Edelweiss Weissbier Snowfresh, 2011,3.182608695652174
278,Edelweiss Weissbier Snowfresh, 2012,3.182352941176471
279,Edelweiss Weissbier Snowfresh, 2013,3.3125
280,Edelweiss Weissbier Snowfresh, 2014,3.345833333333333
281,Edelweiss Weissbier Snowfresh, 2015,3.1291666666666664
282,Edelweiss Weissbier Snowfresh, 2016,3.4166666666666665
283,Edelweiss Weissbier Snowfresh, 2017,3.227272727272727
284,Edelweiss Weissbier Snowfresh, 2018,3.3299999999999996
285,Edelweiss Weissbier Snowfresh, 2019,3.257142857142857
286,Edelweiss Weissbier Snowfresh, 2020,2.5999999999999996
287,Edelweiss Weissbier Snowfresh, 2021,3.6
288,Egger Grapefruit Radler, 2013,2.2
289,Egger Grapefruit Radler, 2014,2.246153846153846
290,Egger Grapefruit Radler, 2015,2.2733333333333334
291,Egger Grapefruit Radler, 2016,2.375
292,Egger Grapefruit Radler, 2017,2.6333333333333333
293,Egger Grapefruit Radler, 2018,2.55
294,Egger Grapefruit Radler, 2019,2.7
295,Egger Grapefruit Radler, 2020,2.3666666666666667
296,Egger Grapefruit Radler, 2021,2.7
297,Egger Märzenbier, 2006,2.775
298,Egger Märzenbier, 2007,2.4285714285714284
299,Egger Märzenbier, 2008,2.4642857142857144
300,Egger Märzenbier, 2009,2.1799999999999997
301,Egger Märzenbier, 2010,2.5357142857142856
302,Egger Märzenbier, 2011,2.38
303,Egger Märzenbier, 2012,2.5916666666666663
304,Egger Märzenbier, 2013,2.3375
305,Egger Märzenbier, 2014,2.4058823529411764
306,Egger Märzenbier, 2015,2.5944444444444446
307,Egger Märzenbier, 2016,2.588888888888889
308,Egger Märzenbier, 2017,2.4
309,Egger Märzenbier, 2018,2.3545454545454545
310,Egger Märzenbier, 2019,2.5533333333333332
311,Egger Märzenbier, 2020,2.73
312,Egger Märzenbier, 2021,2.5555555555555554
313,Egger Zwickl, 2014,2.9000000000000004
314,Egger Zwickl, 2016,2.5
315,Egger Zwickl, 2018,2.1
316,Egger Zwickl, 2019,2.8
317,Egger Zwickl, 2020,2.9
318,Egger Zwickl, 2021,2.6
319,Eichbaum Apostel Bräu, 2007,2.8
320,Eichbaum Apostel Bräu, 2008,2.772727272727273
321,Eichbaum Apostel Bräu, 2009,2.611111111111111
322,Eichbaum Apostel Bräu, 2010,2.3076923076923075
323,Eichbaum Apostel Bräu, 2011,2.55
324,Eichbaum Apostel Bräu, 2012,2.33125
325,Eichbaum Apostel Bräu, 2013,2.246153846153846
326,Eichbaum Apostel Bräu, 2014,2.3272727272727276
327,Eichbaum Apostel Bräu, 2015,2.314285714285714
328,Eichbaum Apostel Bräu, 2016,2.65
329,Eichbaum Apostel Bräu, 2017,2.5444444444444443
330,Eichbaum Apostel Bräu, 2018,2.3428571428571425
331,Eichbaum Apostel Bräu, 2019,2.4285714285714284
332,Eichbaum Apostel Bräu, 2021,2.0
333,Erdinger Weissbier, 2000,3.175
334,Erdinger Weissbier, 2001,3.4266666666666667
335,Erdinger Weissbier, 2002,3.1840579710144925
336,Erdinger Weissbier, 2003,3.1493670886075953
337,Erdinger Weissbier, 2004,3.161764705882353
338,Erdinger Weissbier, 2005,3.1891156462585033
339,Erdinger Weissbier, 2006,3.095705521472393
340,Erdinger Weissbier, 2007,3.1313186813186813
341,Erdinger Weissbier, 2008,3.15609756097561
342,Erdinger Weissbier, 2009,3.12875
343,Erdinger Weissbier, 2010,3.0888888888888886
344,Erdinger Weissbier, 2011,3.160135135135135
345,Erdinger Weissbier, 2012,3.173333333333334
346,Erdinger Weissbier, 2013,3.259009009009009
347,Erdinger Weissbier, 2014,3.1302904564315353
348,Erdinger Weissbier, 2015,3.131720430107527
349,Erdinger Weissbier, 2016,3.1069565217391304
350,Erdinger Weissbier, 2017,3.1856060606060606
351,Erdinger Weissbier, 2018,3.121794871794872
352,Erdinger Weissbier, 2019,3.1737704918032787
353,Erdinger Weissbier, 2020,3.2256410256410257
354,Erdinger Weissbier, 2021,3.312121212121212
355,Erdinger Weissbier Dunkel, 2000,4.3
356,Erdinger Weissbier Dunkel, 2001,3.46
357,Erdinger Weissbier Dunkel, 2002,3.3808510638297875
358,Erdinger Weissbier Dunkel, 2003,3.2414285714285715
359,Erdinger Weissbier Dunkel, 2004,3.316
360,Erdinger Weissbier Dunkel, 2005,3.2549549549549552
361,Erdinger Weissbier Dunkel, 2006,3.180392156862745
362,Erdinger Weissbier Dunkel, 2007,3.231707317073171
363,Erdinger Weissbier Dunkel, 2008,3.1655172413793102
364,Erdinger Weissbier Dunkel, 2009,3.190677966101695
365,Erdinger Weissbier Dunkel, 2010,3.209322033898305
366,Erdinger Weissbier Dunkel, 2011,3.340909090909091
367,Erdinger Weissbier Dunkel, 2012,3.3181208053691273
368,Erdinger Weissbier Dunkel, 2013,3.2314102564102565
369,Erdinger Weissbier Dunkel, 2014,3.135672514619883
370,Erdinger Weissbier Dunkel, 2015,3.1992248062015505
371,Erdinger Weissbier Dunkel, 2016,3.170833333333333
372,Erdinger Weissbier Dunkel, 2017,3.184444444444445
373,Erdinger Weissbier Dunkel, 2018,3.146153846153846
374,Erdinger Weissbier Dunkel, 2019,3.232142857142857
375,Erdinger Weissbier Dunkel, 2020,3.1322580645161286
376,Erdinger Weissbier Dunkel, 2021,3.325
377,FiLite, 2017,2.566666666666667
378,FiLite, 2018,2.325
379,FiLite, 2019,2.25
380,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2013,3.637226277372263
381,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2014,3.6308823529411764
382,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2015,3.570048309178744
383,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2016,3.6482142857142854
384,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2017,3.6361702127659576
385,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2018,3.5884297520661157
386,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2019,3.6465346534653467
387,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2020,3.6102564102564108
388,Franziskaner Hefe-Weissbier / Weissbier Naturtrub, 2021,3.4818181818181815
389,Gambrinus Originál 10° (Desítka), 2002,2.6500000000000004
390,Gambrinus Originál 10° (Desítka), 2003,2.575
391,Gambrinus Originál 10° (Desítka), 2004,2.757142857142857
392,Gambrinus Originál 10° (Desítka), 2005,2.6692307692307695
393,Gambrinus Originál 10° (Desítka), 2006,2.3916666666666666
394,Gambrinus Originál 10° (Desítka), 2007,2.4250000000000003
395,Gambrinus Originál 10° (Desítka), 2008,2.5914285714285716
396,Gambrinus Originál 10° (Desítka), 2009,2.595652173913044
397,Gambrinus Originál 10° (Desítka), 2010,2.54375
398,Gambrinus Originál 10° (Desítka), 2011,2.2766666666666664
399,Gambrinus Originál 10° (Desítka), 2012,2.4703703703703703
400,Gambrinus Originál 10° (Desítka), 2013,2.475862068965517
401,Gambrinus Originál 10° (Desítka), 2014,2.4256410256410255
402,Gambrinus Originál 10° (Desítka), 2015,2.4935483870967743
403,Gambrinus Originál 10° (Desítka), 2016,2.59
404,Gambrinus Originál 10° (Desítka), 2017,2.5391304347826087
405,Gambrinus Originál 10° (Desítka), 2018,2.512121212121212
406,Gambrinus Originál 10° (Desítka), 2019,2.638709677419355
407,Gambrinus Originál 10° (Desítka), 2020,2.96
408,Gambrinus Originál 10° (Desítka), 2021,2.1666666666666665
409,Grolsch Premium Lager, 2000,2.9333333333333336
410,Grolsch Premium Lager, 2001,2.85
411,Grolsch Premium Lager, 2002,2.707558139534884
